kampong,price,type,tenure,status,storeys,plot_area,floor_area,beds,baths,listing
Kg. Bengkurong,330000,Detached,NA,Resale,2,0.139,2600,5,4,"🌴 Stunning Detached Home for Sale in Kg. Bengkurong! 🏠

Are you looking for a spacious and cozy home in a desirable kampong? Look no further! We have an incredible opportunity to purchase this beautifully maintained detached property in Kg. Bengkurong.

Price: BND 330,000

This fantastic property boasts:

• 5 bedrooms and 4 bathrooms
• A total floor area of 2600 sqft
• Situated on a plot area of 0.139 acres
• Perfect for a family or individual looking for a peaceful retreat

Don't miss out on this amazing chance to own a piece of paradise in Brunei! Contact us today to schedule a viewing.

Status: Proposed, but ready for move-in 🎉"
Kg. Subok Kota Batu,425000,Detached,Freehold,New,NA,0.14,3406,4,3,"🏠️️💚 NEW HAVEN IN KAMPUNG SUBOK KOTA BATU! 🌴️️

Step into the ultimate Bruneian living experience in this stunning detached home! With a price tag of BND 425,000, you'll be spoilt for choice amidst lush greenery and serenity.

This FREEHOLD gem boasts a spacious floor area of 3,406 sqft, perfect for creating your dream haven. Enjoy the comfort of 4 bedrooms and 3 bathrooms, each equipped with its own unique charm.

Take a stroll around this 0.14-acre plot of land and discover an oasis waiting to be yours! 🌳️

Don't miss out on this incredible opportunity to own a piece of paradise in Kg Subok Kota Batu. Contact us today to schedule a viewing! 💬"
Kg. Bengkurong,279000,Detached,Freehold,NA,2,0.5,2700,5,4,"🏠💕 Beautiful Detached Home for Sale in Kg Bengkurong! 🌴

Are you looking for a peaceful retreat in the heart of Brunei? Look no further! This stunning detached home is now available for sale at an unbeatable price of BND 279,000.

Located in the serene Kg Bengkurong, this property boasts a total floor area of 2700 sqft and features 5 spacious bedrooms and 4 bathrooms. Enjoy the perfect blend of comfort and freedom in this beautifully maintained freehold property.

Plot Area: 0.5 acres
Status: For Sale

Don't miss out on this incredible opportunity to own your dream home! Contact us today to schedule a viewing and make it yours. 📲💬"
Kg. Kulapis,259000,Detached,Freehold,Under Construction,NA,0.145,2500,4,3,"🌴🏠 **Dream Home Alert!** 🏠🌴

Escape to a serene abode in Kg. Kulapis, Brunei's most sought-after neighborhood!

Experience the perfect blend of luxury and serenity in this 4-bedroom, 3-bathroom detached home, now available for sale at BND 259,000. Currently under construction.

Plot Area: 0.145 acres
Floor Area: 2500 sqft

Located in a prime area, this property offers ample space to live, entertain, or simply relax.

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing and make your dream home a reality 📲🏠"
Kg. Mulaut,328000,Semi-Detached,Freehold,New,NA,0.098,2551,4,4,"🏠🌴 🚨 NEW LISTING ALERT! 💥

Are you looking for your dream home in a beautiful kampong setting? Look no further! We have an amazing Semi-Detached house for sale in Kg. Mulaut, Brunei!

🏡 With 4 spacious bedrooms and 4 modern bathrooms, this house is perfect for families or individuals seeking comfort and relaxation. The open-plan living area is ideal for entertaining guests, while the kitchen is equipped with all the necessary appliances.

💦 Don't forget to enjoy the beautiful outdoor space, complete with a plot area of 0.098 acres and 2,551 sqft of built up area! Imagine spending your sunny afternoons lounging in the garden or hosting barbecues with friends and family.

📈 This FREEHOLD property offers the perfect blend of freedom and security, allowing you to own your home without any worries.

💸 Price: BND328,000

🔒 Status: NEW - Make it your dream home today!

Contact us to schedule a viewing and make this house yours! 📲"
Kg. Pangkalan Gadong,450000,Detached,NA,Under Construction,NA,0.12,2590,4,3,"🌴 🏠 Exciting Opportunity in Kg. Pangkalan Gadong! 🏠 🌴

Are you looking for a dream home in Brunei? Look no further! We have an incredible opportunity for you in Kg. Pangkalan Gadong, with a price tag of BND 450,000!

This stunning detached property boasts a spacious floor area of 2,590 sqft and comes with 4 bedrooms and 3 bathrooms. With its vast plot area of 0.12 acres, you'll have plenty of room to park your car and enjoy the outdoors.

Currently under construction, this property is sure to be a showstopper in the community. Don't miss out on this amazing chance to own a piece of paradise!

Contact us today to schedule a viewing and make this house your home! 📲 08523456789"
Kg. Sungai Hanching,335000,Detached,NA,Under Construction,NA,0.087,2642,4,5,"🌴 **LUXURY DETACHED HOME IN KAMPONG SINGAI HANCHING**

Escape to a tranquil retreat in Kg. Sungai Hanching, where natural beauty meets modern convenience! 🌳

This stunning detached home is currently under construction and promises to be a masterpiece of Bruneian architecture.

With 2642 sqft of floor area, this spacious abode will provide ample space for you to relax and entertain. Enjoy 5 luxurious bathrooms and 4 bedrooms, perfect for families or individuals seeking a serene getaway.

Enjoy the peaceful surroundings of Kg. Sungai Hanching, with its picturesque views of the surrounding kampong. The plot area is 0.087 acres, providing plenty of room for outdoor activities or simply enjoying nature's serenity.

Don't miss out on this incredible opportunity to own a piece of paradise! 🌴

**Price: BND 335,000**

Contact us today to schedule a viewing and make this home yours! ☕️"
Kg. Menglait,485000,NA,Freehold,New,NA,0.186,3176,4,4,"🌴 Stunning Freehold Home in Kg. Menglait! 🌴

Experience the best of Bruneian living in this beautiful 4-bedroom, 4-bathroom freehold home! 🏠 Perfect for those seeking a tranquil retreat or an investment opportunity, this property offers a spacious floor area of 3176 sqft and a generous plot size of 0.186 acres.

Enjoy the comforts of modern living in this new built home, complete with [insert any other available features or amenities]. 💡

Don't miss out on this incredible deal! Available for BND 485,000. Contact us today to schedule a viewing! 📲"
Kg. Lumapas,350000,Detached,NA,Under Construction,NA,0.199,3300,5,5,"🌴🏠 Exciting Opportunity in Kg. Lumapas! 🏠🌴

Are you looking for a luxurious retreat in the heart of Brunei? Look no further! We present to you this stunning detached house in Kg. Lumapas, currently priced at BND 350,000.

This beautiful property boasts an impressive floor area of 3,300 sqft and features 5 spacious bedrooms and 5 elegant bathrooms. The plot area is a generous 0.199 acres, perfect for those who want to enjoy the outdoors while still having ample space for their family and friends.

Currently under construction, this property is set to be completed soon and will be ready for occupancy in no time. Don't miss out on this amazing opportunity to own a piece of paradise in Brunei!

Contact us today to schedule a viewing and make this dream home a reality! 📲🏠"
Kg. Lumapas,238000,Detached,Freehold,Under Construction,NA,0.12,2079,4,3,"🏠🌴 **Escape to Serenity in Kg. Lumapas!** 🌴🏠

Are you looking for a tranquil retreat amidst the heart of Brunei? Look no further! We present to you this stunning Detached Freehold property in Kg. Lumapas, available for BND 238,000.

This beautiful home boasts a spacious floor area of 2079 sqft, perfect for relaxing and entertaining. With 4 bedrooms and 3 bathrooms, it's ideal for families or individuals seeking a peaceful haven. The plot area of 0.12 acres offers ample space for outdoor activities and a private escape from the world.

Currently under construction, this property is set to be completed soon, giving you a chance to make it your dream home. Don't miss out on this incredible opportunity!

Contact us today to schedule a viewing and make Kg. Lumapas your haven! 📲 07777777"
Kg. Mata-Mata,360000,Detached,NA,New,NA,0.078,2849,4,4,"🏠👍 ""Escape to Serenity in Kg. Mata-Mata! 🌳

Welcome to this stunning detached property, nestled in the heart of Kg. Mata-Mata! 🏠 This beautiful home boasts 2849 sqft of floor area and a generous plot size of 0.078 acres, perfect for those seeking a tranquil retreat.

Enjoy 4 spacious bedrooms and 4 modern bathrooms, ideal for families or individuals alike. The property is currently available at BND 360,000, a steal in this picturesque location!

Don't miss out on this incredible opportunity to own your dream home in Kg. Mata-Mata! Contact us today to schedule a viewing! 📲"""
Kg. Sengkarai,268000,Detached,Freehold,Under Construction,NA,0.1,2500,4,3,"🏠 Exciting Opportunity in Kg. Sengkarai! 🏠

We have an exclusive property available for sale in the sought-after Kg. Sengkarai area!

This stunning detached freehold home is currently under construction and promises to be a gem in this growing neighborhood.

With 4 spacious bedrooms and 3 modern bathrooms, this property offers ample space for family living or as an investment opportunity.

Situated on a beautiful plot of 0.1 acres and 2500sqft of built up area, you'll enjoy a tranquil oasis amidst the bustling city life.

Don't miss out on this fantastic chance to own a piece of paradise! Contact us today to schedule a viewing!

Price: BND 268,000"
Kg. Jerudong,430000,Detached,NA,Under Construction,NA,0.136,2963,5,5,"🏠🌴 **EXCITING NEW HOMES ALERT! 🤩**

Are you ready to own a piece of paradise? 🌺 We have an incredible new development in Kg. Jerudong, Brunei that you won't want to miss!

This stunning 5-bedroom, 5-bathroom detached house is currently under construction and is expected to be completed soon. With a plot area of 0.136 acres, this spacious property offers ample room for relaxation and entertainment.

Featuring an impressive floor area of 2963 square feet, you'll have everything you need for a comfortable living space. Enjoy the beautiful Bruneian weather in your own private haven!

**Key Features:**

- 5 bedrooms
- 5 bathrooms
- Detached property
- Under construction
- Currently priced at BND 430,000

Don't miss out on this amazing opportunity to own a piece of Brunei's finest real estate. Contact us today for more information and to schedule a viewing! 📲"
Kg. Mulaut,230000,Detached,Freehold,Under Construction,NA,0.088,2100,4,3,"🏠 Exciting Opportunity in Kg. Mulaut! 🌴

We have an incredible deal for you! This beautiful Detached property is now available for sale in Kg. Mulaut, and it's a must-see for anyone looking for a stunning home.

With 4 spacious bedrooms and 3 bathrooms, this house has everything you need to live comfortably. The plot area of 0.088 acres offers plenty of space for outdoor activities, while the floor area of 2100 square feet provides ample room for living, cooking, and entertaining. Freehold land.

Located in a prime location, this property is perfect for those looking to own a piece of paradise in Kg. Mulaut. Don't miss out on this amazing opportunity to make your dream home a reality!

Price: BND 230,000

Contact us today to schedule a viewing and take advantage of this incredible deal! 📲"
Kg. Salambigar,390000,Detached,Freehold,Resale,NA,0.136,2500,5,4,"🌴 🏠 **Escape to Serenity!**

**Kg. Salambigar Detached Freehold**

Experience the epitome of Bruneian living in this stunning 5-bedroom, 4-bathroom freehold property!

Located on a tranquil plot area of 0.136 acres, this spacious home offers an abundance of natural light and breathtaking views (subject to plot layout). The beautifully designed interior boasts ample floor space for relaxation and entertainment.

The perfect blend of comfort and style, this residence is waiting for you to make it your dream home. Don't miss out on this incredible opportunity!

**Key Features:**

- 5 spacious bedrooms
- 4 elegant bathrooms
- 2500 sqft floor area
- Plot area: 0.136 acres
- Detached property
- Freehold tenure
- Resale status

**Asking Price:** BND 390,000"
Kg. Mata-Mata,350000,Detached,Freehold,Proposed,2,0.11,2021,5,3,"🌴🏠 **Dream Home Alert! 🏠🌴**

Introducing a stunning 5-bedroom, 3-bathroom detached home in Kg. Mata-Mata!

Enjoy the perfect blend of freedom and security with this FREEHOLD property.

This spacious home boasts:

• 5 comfortable bedrooms for the whole family
• 3 modern bathrooms to keep you refreshed
• A beautiful plot area of 0.11 acres, perfect for a tranquil retreat
• Floor area of 2021 sqft, ideal for entertaining and relaxation

Don't miss out on this amazing opportunity! Contact us now to schedule a viewing!

**Price:** BND 350,000"
Kg. Kilanas,210000,Terrace,NA,Under Construction,NA,0.04,2100,4,4,"🌴💰 Exciting Development Opportunity in Kg. Kilanas!

Are you looking for a new home in Brunei? We've got an amazing opportunity for you! 🤩

We present to you a stunning 4-bedroom, 4-bathroom terrace house located in the heart of Kg. Kilanas. With a total floor area of 2100 sqft and a spacious plot area of 0.04 acres, this property is perfect for those looking for a comfortable and quiet living space.

Currently under construction, this beautiful home is set to be completed soon and will feature all modern amenities. Don't miss out on this chance to own a piece of paradise in Brunei! 💕

Price: BND 210,000

Contact us now to schedule a viewing and make this dream a reality! 📲🏠"
Kg. Mentiri,288000,Detached,NA,Under Construction,NA,0.106,2410,3,4,"🏠🌴 **Dream Home Alert!** 🌴🏠

Ready to own your slice of paradise? 😎 Look no further! We have an incredible opportunity for you in Kg. Mentiri, Brunei's premier residential area.

This stunning 3-bedroom, 4-bathroom detached house is priced at BND 288,000 and offers a total floor area of 2,410 square feet on a beautiful plot of 0.106 acres. With its spacious interiors, perfect for relaxing and entertaining, this property has everything you need to live comfortably.

Under construction and still available, don't miss out on this fantastic chance to own your dream home! Contact us today to schedule a viewing. 📲🏠"
Kg. Pelambaian,688000,Detached,Freehold,Under Construction,NA,0.226,3848,4,5,"🏠💥 Exciting Opportunity in Kg. Pelambaian! 💥🏠

Are you ready to find your dream home? Look no further! We have an amazing Detached property for sale in Kg. Pelambaian, with a price tag of BND 688,000.

This stunning Freehold property is currently Under Construction and boasts an impressive floor area of 3848 sq ft. With 4 spacious bedrooms and 5 modern bathrooms, you'll have all the space you need to live life to the fullest.

The plot area is a generous 0.226 acres, offering ample room for your family and guests to enjoy. And with its beautiful location in Kg. Pelambaian, you'll be just minutes from everything you need.

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing and make this property yours. 📲💬"
Kg. Sungai Tilong,260000,Terrace,Leasehold,Under Construction,NA,0.052,2581,4,3,"🌴️ **Dream Home in the Making! 🏠**

Are you ready to own a piece of paradise? Look no further! We have an incredible opportunity for you to be one of the first residents of Kg. Sungai Tilong, Brunei's latest and most sought-after address!

This beautiful 4-bedroom, 3-bathroom Terrace house is nestled on a stunning 0.052-acre plot, perfect for those who want to experience the best of Bruneian living. With a spacious floor area of 2581 sqft, you'll have plenty of room to entertain and relax.

Leasehold property with Under Construction status - the perfect opportunity to put your own stamp on this beautiful home!

Don't miss out on this amazing chance to be part of a vibrant community that's still growing and developing. Contact us today to schedule a viewing and make this house yours! 💕

**Price: BND 260,000**

**Location:** Kg. Sungai Tilong"
Kg. Limau Manis,198000,Detached,Freehold,Proposed,NA,0.123,1600,4,3,"🏠💥 Exciting Opportunity in Kg. Limau Manis! 🌴

Are you looking for a spacious and comfortable home? Look no further! We have an amazing 4-bedroom, 3-bathroom detached property for sale in Kg. Limau Manis.

This stunning freehold property boasts a total floor area of 1600 square feet, nestled on a beautiful plot of 0.123 acres. Enjoy the tranquil atmosphere and picturesque surroundings of this proposed residential area.

With its modern infrastructure and convenient location, this home is perfect for families or individuals seeking a serene retreat from the hustle and bustle of city life. Don't miss out on this incredible opportunity to own your dream home in Kg. Limau Manis!

Price: BND 198,000

Contact us today to schedule a viewing and make this amazing property yours! 📲 77-333111"
Kg. Subok Kota Batu,420000,Detached,NA,Under Construction,NA,0.147,4000,4,4,"🏠💚

**Dream Home in Kg. Subok Kota Batu - Your Paradise Awaits!**

Are you looking for a dream home with plenty of space and comfort? Look no further! We have an amazing opportunity to buy this stunning detached house in Kg. Subok Kota Batu.

Located on a 0.147 plot area, this beautiful property boasts a spacious floor area of 4000 sq ft, making it perfect for large families or those who love entertaining. The 4 bedroom and 4 bathroom layout offers ample space for relaxation and enjoyment.

Currently under construction, this project is expected to be completed soon, giving you the chance to own a piece of paradise before it's too late!

Don't miss out on this incredible deal! Contact us today to schedule a viewing and make your dream home a reality. 💕"
Kg. Subok Kota Batu,630000,Detached,NA,Under Construction,NA,0.176,4000,4,5,"🌴 Luxury Living in Kg. Subok Kota Batu - Your Dream Home Awaits! 🏠

Are you ready to experience the ultimate in Bruneian living? Look no further than this stunning 4-bedroom, 5-bathroom detached residence in Kg. Subok Kota Batu!

Currently under construction, this luxurious property boasts an impressive plot area of 0.176 acres and a spacious floor area of 4000 sq ft. With a price tag of BND 630,000, it's an investment like no other.

Perfect for families or individuals seeking a tranquil retreat, this beautiful home offers plenty of space to unwind and enjoy the simple things in life. Whether you're looking to relax on your spacious balcony or entertain friends on your expansive lawn, this property has it all.

Don't miss out on this incredible opportunity to own a piece of Bruneian paradise! Contact us today to schedule a viewing and make your dream home a reality. 📲

Price: BND 630,000"
Kg. Jangsak,245000,Semi-Detached,Freehold,NA,NA,0.048,2427,4,3,"🏠✨ **Luxurious Semi-Detached Haven in Kg. Jangsak!** 🌴

Escape to the tranquility of Kg. Jangsak with this stunning semi-detached home, offering 4 spacious bedrooms and 3 elegant bathrooms! 

With a beautiful floor area of 2427 sqft and a plot size of 0.048 acres, you'll have ample space to relax and unwind in your private oasis.

This freehold property boasts a price tag of BND245,000, making it an unbeatable deal for those seeking a comfortable and stylish home in the heart of Brunei's charming kampong life.

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing. 📲💬"
Kg. Bengkurong,300000,Detached,Freehold,Under Construction,NA,0.147,1600,3,3,"🏠😊

**Dream Home Alert! 🚨**

Are you ready to own a piece of paradise? Look no further than this stunning detached property in Kg. Bengkurong!

💰 Price: 300,000 BND (Under Construction)

This beautiful freehold property is perfect for those looking to put their mark on a dream home. With a spacious floor area of 1,600 sqft and 3 generous bedrooms, you'll have all the space you need to live, work, or play.

🏞️ Plot Area: 0.147 acres

🛋️ Beds: 3
🚽 Baths: 3

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing and make this house your home. 📲"
Kg. Pasai,398000,Detached,NA,Under Construction,NA,0.15,3353,5,5,"🏠🌴 EXCITING OPPORTUNITY! 🌴🏠

Are you ready to own a piece of paradise? Look no further than this stunning Detached property in Kg. Pasai! 🤩

For sale at BND398,000, this Under Construction dream is waiting for its new owner. With 5 spacious bedrooms and 5 modern bathrooms, there's ample space for your family to grow and thrive.

Enjoy the beautiful surroundings of Kg. Pasai, with its own plot area of 0.15 acres and 3353 sqft of built up area, offering a private oasis in the heart of the city. 🌳

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing. 💬"
Kg. Kilanas,270000,Terrace,Freehold,Under Construction,NA,0.079,2963,5,3,"🏠🌴 🎉 Exciting Opportunity in Kg. Kilanas! 🎉🌴

Are you ready to make a statement with your new home? Look no further! This stunning property in Kg. Kilanas is currently under construction.

Located on a beautiful 0.079 acres plot, this FREEHOLD terrace house boasts an impressive floor area of 2963 sqft and comes with 5 spacious bedrooms and 3 stylish bathrooms.

Don't miss out on this incredible chance to own a piece of paradise! With a price tag of BND 270,000, this property is an unbeatable value for anyone looking to invest in the future.

Contact me today to schedule a viewing and make your dream home a reality!

📲 Phone: [insert phone number]
📧 Email: [insert email]

Hurry! Don't miss out on this amazing opportunity! 🕒"
Kg. Beribi,380000,NA,Freehold,New,NA,0.15,2500,3,3,"🌴🏠 **Stunning Kg. Beribi Home for Sale! 🏠🌴**

💰 Price: BND 380,000 💸

📦 **Location:** [Kg. Beribi], a desirable kampong in Brunei

🏡 **Type of Property:** Freehold property with ample space to grow

🤝 **Tenure:** Enjoy the freedom of owning your dream home without any restrictions

🎉 **New Property!** This brand new property is perfect for those looking to invest in their future or start a family

💕 **Lifestyle:** Live in a peaceful kampong setting with easy access to amenities and services

🏠 **Features:**

- 3 spacious bedrooms
- 3 modern bathrooms
- Floor area of 2500 sqft
- Plot area of 0.15 acres
- Perfect for those seeking a relaxing lifestyle or a home to start a family

📆 **Viewings:** Contact us today to schedule a viewing and make this property yours!

Call/Text: [Your Phone Number]
Email: [Your Email]

Don't miss out on this amazing opportunity! 💥"
Kg. Katimahar,399000,Detached,Freehold,New,NA,0.25,3800,5,5,"🏠🌴 Stunning Detached Home in Kg. Katimahar! 🌴🏠

Discover your dream home in this beautiful 5 bedroom, 5 bathroom detached property located in the heart of Kg. Katimahar. With a total floor area of 3800 sqft, this house offers ample space for relaxation and entertainment.

Featuring a spacious plot area of 0.25 acres, you'll have plenty of room to park your car and enjoy outdoor activities. The tenure is Freehold, giving you peace of mind knowing that the property is yours to own for generations to come.

This newly built home is priced at BND 399,000 and is available for immediate purchase. Don't miss out on this incredible opportunity to own a piece of paradise in Kg. Katimahar! Contact us today to schedule a viewing. 📲💬"
Kg. Keriam,215000,Detached,Freehold,NA,2,0.121,2000,4,4,"🏠🌴 Stunning Detached Home for Sale in Kg. Keriam!

🎉 Are you looking for a spacious and comfortable home in a beautiful kampong setting? Look no further! This fantastic 4-bedroom, 4-bathroom detached house is now available for sale.

❤️ Key Features:

- Freehold tenure for long-term investment
- Plush floor area of 2000 sqft
- Beautiful plot area of 0.121 acres
- Perfect blend of modern amenities and traditional kampong charm

🏃‍♂️ Perfect for families, individuals, or investors looking to own a piece of Brunei's countryside.

💸 Price: BND 215,000

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing. 📲 0777777777"
Kg. Sungai Tilong,450000,NA,NA,New,NA,0.166,2856,5,4,"🌴💚 🌊

STUNNING NEW HOME FOR SALE IN KG. SONGAI TILONG!

Get ready to live your dream in this gorgeous new home for sale! 🎉 Located in the beautiful Kampong Sungai Tilong, this property boasts an impressive 0.166 acres of plot area and a spacious floor area of 2856 sqft.

This stylish abode features 5 bedrooms and 4 bathrooms, perfect for growing families or roommates who want their own space! 🏠👫 The best part? It's priced to sell at just BND 450,000, making it an unbeatable value in this sought-after kampong!

Don't miss out on this incredible opportunity to own a piece of Brunei paradise. Contact us today to schedule a viewing and make your dream a reality! 📲🏠"
Kg. Mulaut,298000,Detached,Freehold,New,NA,0.123,2773.86,5,2,"🏠 NEW HOME ALERT! 🏠

Escape to serenity in Kg. Mulaut's hidden gem! 😌

This stunning Detached house is now available for purchase at an unbeatable price of BND 298,000.

Enjoy the perfect blend of modern living and natural beauty in this 5-bedroom, 2-bathroom haven. 🏠💤

With a spacious floor area of 2773.86 sqft and a picturesque plot size of 0.123 acres, you'll have plenty of room to spread your wings. 🌳

Plus, enjoy the freedom of owning a Freehold property in this sought-after kampong! 🙌

Don't miss out on this incredible opportunity. Contact us today to schedule a viewing and make Kg. Mulaut your home sweet home! 📲"
Kg. Mata-Mata,280000,Terrace,Freehold,Proposed,2,0.0843,2300,4,3,"🏠🌴 **Dream Home in Kg. Mata-Mata! 🌴🏠**

Are you ready to find your perfect retreat? Look no further! We have an incredible 4-bedroom, 3-bathroom Terrace property for sale in Kg. Mata-Mata!

This stunning house boasts a spacious floor area of 2300 sqft, set amidst a beautiful plot area of 0.0843 acres. The perfect blend of modern amenities and traditional charm, this property is sure to capture your heart.

With its proposed freehold tenure and affordable price tag of BND 280,000, this house is an unbeatable value for anyone looking to own their dream home in Brunei.

Don't miss out on this fantastic opportunity! Contact us today to schedule a viewing. 📲👉 [Your Contact Info]"
